Method,Name,Error,Occurrences
GET,/,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to localhost timed out. (connect timeout=None)')",202
GET,/,"ConnectionResetError(54, 'Connection reset by peer')",11
